
Frequency: 22050, Amplitude pozitiv: 0, Amplitude negativ: 0, .-<<||||   ;
Frequency: 125, Amplitude pozitiv: 1988, Amplitude negativ: 1728, .-<<||||   79, 242, 307, 358, 375, 468, 650, 867, 1001, 989, 1030, 1209, 1307, 1448, 1620, 1736, 1804, 1822, 2054, 2207, 2279, 2325, 2366, 2358, 2413, 2557, 2473, 2481, 2475, 2421, 2600, 2587, 2607, 2644, 2674, 2575, 2640, 2785, 2781, 2777, 2910, 3015, 2976, 2931, 2996, 2942, 2834, 2862, 2811, 3011, 2895, 2818, 2970, 2784, 2881, 2887, 2943, 2893, 2850, 2873, 2797, 2715, 2718, 2829, 2805, 2682, 2591, 2585, 2479, 2413, 2428, 2421, 2320, 2226, 2130, 2016, 1894, 1773, 1738, 1697, 1549, 1637, 1662, 1543, 1413, 1397, 1327, 1203, 1052, 923, 749, 697, 640, 501, 386, 151, 172, 100, -74, -190, -372, -470, -629, -801, -912, -1029, -1146, -1290, -1314, -1373, -1525, -1641, -1673, -1847, -1860, -1834, -1863, -1850, -2049, -2128, -2139, -2318, -2455, -2558, -2550, -2546, -2496, -2558, -2536, -2461, -2487, -2401, -2456, -2548, -2451, -2509, -2635, -2416, -2434, -2484, -2390, -2503, -2536, -2407, -2477, -2356, -2349, -2395, -2318, -2200, -2094, -2027, -2097, -2078, -1967, -1938, -1864, -1692, -1572, -1540, -1458, -1455, -1453, -1344, -1342, -1319, -1222, -1043, -876, -770, -620, -554, -388, -358, -304, -208, ;


Frequency: 126, Amplitude pozitiv: 1620, Amplitude negativ: 1458, .-<<||||   49, 61, 118, 248, 388, 602, 670, 746, 808, 891, 901, 1048, 1126, 1362, 1546, 1650, 1747, 1826, 1854, 2033, 2035, 2071, 2046, 2090, 2045, 2182, 2345, 2236, 2344, 2271, 2403, 2362, 2409, 2467, 2404, 2346, 2238, 2367, 2340, 2306, 2222, 2337, 2433, 2434, 2598, 2483, 2340, 2296, 2271, 2207, 2357, 2251, 2217, 2055, 1941, 2026, 2000, 2022, 2007, 2000, 1952, 1965, 1905, 1878, 1791, 1668, 1505, 1474, 1396, 1235, 1140, 1133, 1133, 1053, 964, 857, 701, 584, 564, 539, 421, 330, 282, 153, -57, -94, -115, -146, -181, -386, -458, -542, -562, -695, -834, -1070, -1253, -1211, -1320, -1452, -1508, -1455, -1569, -1582, -1753, -1811, -1870, -1857, -1957, -2050, -1888, -2128, -2146, -2118, -2325, -2250, -2148, -2206, -2161, -2019, -1950, -1997, -1995, -1913, -2049, -2032, -1988, -2045, -1953, -2076, -2106, -2145, -2035, -1972, -1940, -1968, -2018, -1972, -2014, -1806, -1857, -1970, -1995, -1919, -1832, -1871, -1827, -1778, -1711, -1679, -1645, -1664, -1691, -1701, -1501, -1581, -1497, -1421, -1400, -1301, -1278, -1215, -1209, -1081, -849, -814, -736, -544, -538, -411, -379, -333, -216, -112, -30, ;


Frequency: 259, Amplitude pozitiv: 1499, Amplitude negativ: 129, .-<<||||   121, 172, 295, 256, 319, 362, 494, 605, 714, 795, 793, 926, 1076, 1119, 1263, 1280, 1249, 1430, 1488, 1531, 1610, 1660, 1674, 1666, 1652, 1904, 1954, 2015, 1970, 1866, 1928, 1998, 2002, 2024, 2220, 2276, 2394, 2332, 2329, 2202, 2126, 2231, 2318, 2346, 2246, 2403, 2386, 2265, 2341, 2397, 2113, 2058, 2021, 1943, 2055, 2032, 2025, 2033, 2014, 1998, 1941, 1920, 1982, 1909, 1753, 1731, 1753, 1706, 1464, 1485, 1286, 1156, 1091, 956, 895, 672, 553, 663, 628, 355, 225, 341, 166, 37, -129, ;


Frequency: 275, Amplitude pozitiv: 15, Amplitude negativ: 1149, .-<<||||   15, -57, -473, -571, -489, -112, -412, -313, -501, -984, -955, -859, -654, -942, -1214, -1164, -1174, -1276, -1264, -1372, -1189, -1304, -1553, -1488, -1361, -1417, -1733, -1349, -1215, -1467, -1801, -1620, -1214, -1404, -1689, -1883, -1648, -1398, -1671, -1865, -1764, -1495, -1538, -1671, -1746, -1710, -1615, -1467, -1475, -1721, -1765, -1843, -1516, -1396, -1268, -1506, -1560, -1269, -1156, -1088, -1230, -1238, -1345, -1183, -1179, -1109, -963, -849, -815, -853, -703, -635, -564, -446, -376, -492, -431, -428, -303, -30, ;


Frequency: 7350, Amplitude pozitiv: 80, Amplitude negativ: 51, .-<<||||   80, -79, -23, ;


Frequency: 137, Amplitude pozitiv: 1381, Amplitude negativ: 1060, .-<<||||   27, 71, 297, 375, 516, 697, 759, 769, 850, 976, 970, 979, 943, 874, 1128, 1366, 1417, 1423, 1433, 1468, 1509, 1505, 1472, 1585, 1629, 1703, 1736, 1680, 1695, 1723, 1864, 1874, 2092, 2103, 1941, 1926, 1826, 1916, 2073, 1996, 1797, 1736, 1860, 1903, 1852, 1855, 1913, 1953, 1926, 1931, 1955, 1972, 1871, 1905, 2000, 1936, 2012, 1971, 1847, 1851, 1777, 1756, 1730, 1819, 1927, 1799, 1571, 1452, 1346, 1286, 1240, 1081, 1008, 990, 951, 811, 715, 697, 607, 576, 542, 551, 556, 407, 281, 108, -5, -73, -49, -211, -398, -426, -432, -474, -587, -577, -686, -739, -691, -779, -882, -944, -1036, -1038, -1087, -1036, -1111, -1214, -1187, -1307, -1392, -1335, -1376, -1403, -1309, -1481, -1570, -1637, -1674, -1624, -1655, -1740, -1735, -1653, -1641, -1655, -1509, -1491, -1540, -1588, -1492, -1483, -1688, -1519, -1511, -1557, -1440, -1412, -1383, -1283, -1224, -1213, -1106, -1190, -1239, -1160, -1160, -969, -883, -853, -865, -810, -709, -587, -410, -220, -382, -421, -248, -102, ;


Frequency: 7350, Amplitude pozitiv: 2, Amplitude negativ: 102, .-<<||||   2, -145, -59, ;


Frequency: 128, Amplitude pozitiv: 1185, Amplitude negativ: 925, .-<<||||   89, 172, 180, 309, 436, 421, 476, 650, 812, 787, 766, 725, 822, 920, 952, 979, 977, 993, 1071, 1179, 1143, 1124, 1311, 1421, 1389, 1388, 1539, 1526, 1589, 1547, 1464, 1524, 1676, 1735, 1772, 1850, 1929, 1886, 1788, 1827, 1761, 1740, 1774, 1840, 1715, 1691, 1821, 1785, 1588, 1608, 1645, 1625, 1695, 1714, 1597, 1678, 1706, 1856, 1759, 1854, 1807, 1673, 1755, 1646, 1550, 1510, 1462, 1486, 1387, 1271, 1384, 1365, 1320, 1184, 1224, 1191, 1153, 1076, 1010, 1050, 1039, 1027, 1055, 871, 867, 754, 571, 673, 556, 481, 638, 491, 364, 353, 248, 165, 59, 30, 13, -45, -98, -143, -204, -256, -371, -457, -499, -524, -609, -609, -647, -590, -747, -889, -898, -1068, -1146, -1191, -1092, -1161, -1248, -1236, -1186, -1195, -1320, -1386, -1374, -1459, -1553, -1626, -1478, -1462, -1560, -1491, -1526, -1600, -1544, -1524, -1619, -1522, -1421, -1278, -1265, -1278, -1167, -1310, -1254, -1164, -1075, -1116, -1143, -1092, -1040, -1036, -935, -932, -787, -778, -724, -595, -607, -533, -549, -392, -402, -371, -347, -265, -168, -140, -92, -151, ;


Frequency: 127, Amplitude pozitiv: 975, Amplitude negativ: 745, .-<<||||   43, 50, 168, 288, 346, 382, 489, 439, 425, 595, 616, 657, 722, 833, 896, 992, 990, 1035, 1127, 1186, 1344, 1230, 1226, 1326, 1434, 1442, 1424, 1550, 1575, 1570, 1623, 1608, 1657, 1628, 1641, 1517, 1461, 1454, 1411, 1474, 1433, 1463, 1374, 1334, 1390, 1406, 1323, 1432, 1467, 1428, 1503, 1386, 1327, 1312, 1241, 1155, 1123, 1053, 1014, 1098, 1118, 1066, 1059, 1081, 934, 921, 814, 923, 849, 885, 1012, 829, 657, 644, 688, 554, 657, 614, 531, 409, 500, 462, 335, 183, 270, 383, 160, 181, 4, -62, -2, -118, -226, -114, -184, -236, -291, -420, -381, -509, -552, -601, -605, -539, -582, -690, -709, -764, -788, -759, -933, -978, -952, -1002, -1005, -982, -877, -856, -909, -967, -971, -950, -1098, -950, -993, -972, -1068, -1117, -1013, -1144, -1227, -1282, -1075, -1125, -1227, -1241, -1155, -1135, -1025, -985, -1034, -940, -1039, -1106, -977, -1076, -1019, -1021, -1002, -1043, -868, -939, -866, -766, -852, -714, -662, -665, -630, -624, -619, -571, -476, -455, -472, -415, -369, -315, -344, -97, -132, -183, -19, ;


Frequency: 135, Amplitude pozitiv: 1061, Amplitude negativ: 472, .-<<||||   22, 143, 174, 215, 262, 379, 560, 618, 706, 745, 782, 901, 761, 806, 967, 1100, 1224, 1213, 1074, 1161, 1239, 1320, 1451, 1407, 1357, 1405, 1493, 1491, 1584, 1647, 1683, 1567, 1549, 1521, 1535, 1592, 1593, 1627, 1672, 1607, 1499, 1626, 1562, 1604, 1534, 1498, 1477, 1486, 1435, 1315, 1358, 1346, 1426, 1404, 1448, 1341, 1320, 1458, 1308, 1293, 1307, 1333, 1284, 1154, 1168, 1227, 1188, 1164, 1266, 1193, 1066, 1082, 1174, 1060, 969, 963, 947, 794, 806, 858, 573, 456, 385, 478, 549, 300, 288, 58, 109, 199, 252, 154, 29, -63, -183, -101, -261, -295, -270, -238, -231, -303, -268, -244, -301, -215, -195, -321, -393, -342, -467, -500, -513, -529, -573, -695, -692, -736, -673, -605, -572, -558, -791, -787, -782, -828, -974, -973, -940, -921, -805, -814, -788, -805, -691, -673, -609, -702, -665, -611, -716, -686, -468, -451, -565, -570, -534, -438, -375, -285, -255, -365, -331, -268, -251, -324, -309, -122, -127, -19, -27, -36, -81, ;


Frequency: 122, Amplitude pozitiv: 852, Amplitude negativ: 682, .-<<||||   36, 87, 148, 267, 206, 296, 152, 186, 245, 236, 326, 392, 315, 437, 495, 547, 588, 648, 741, 817, 869, 885, 894, 788, 803, 934, 1077, 1078, 1044, 1020, 1107, 1095, 1028, 1037, 1106, 1148, 1153, 1099, 1164, 1262, 1220, 1265, 1412, 1390, 1423, 1357, 1434, 1462, 1375, 1457, 1439, 1401, 1465, 1407, 1348, 1390, 1310, 1388, 1405, 1320, 1305, 1282, 1380, 1292, 1277, 1216, 1130, 1162, 1097, 1077, 1072, 1026, 914, 956, 1002, 889, 818, 867, 835, 731, 780, 668, 602, 616, 607, 672, 569, 491, 417, 297, 196, 353, 354, 362, 209, 127, 188, 117, 58, -51, -115, -45, -121, -201, -280, -151, -113, -213, -277, -409, -453, -394, -447, -526, -567, -551, -522, -622, -757, -816, -771, -774, -787, -771, -884, -858, -806, -850, -899, -906, -915, -856, -962, -992, -968, -1058, -1029, -976, -990, -948, -1093, -1203, -1014, -1017, -1133, -1274, -1286, -1190, -1281, -1219, -980, -1044, -1024, -952, -832, -771, -746, -606, -763, -830, -711, -677, -619, -581, -713, -762, -729, -762, -735, -740, -591, -398, -290, -195, -238, -218, -157, -141, -157, -1, ;

